,Country,primaryValue,netWgt,flowCode
49,Azerbaijan,128810161.23,266559000.0,X
50,Azerbaijan,136652239.2,269356000.0,X
51,Azerbaijan,185497504.48,409711000.0,X
52,Azerbaijan,206678277.63,433454000.0,X
53,Azerbaijan,73756528.22,161773000.0,X
54,Azerbaijan,39958724.68,77153500.0,X
55,Azerbaijan,417087026.89,970054000.0,X
56,Azerbaijan,905730406.87,1919970000.0,X
57,Azerbaijan,45156559.34,90376700.0,X
58,Azerbaijan,83392116.96,167587000.0,X
59,Azerbaijan,57135172.08,139301000.0,X
60,Azerbaijan,1328417044.1,2777970000.0,X
61,Azerbaijan,701714480.33,1489890000.0,X
62,Azerbaijan,353196505.62,746181000.0,X
63,Azerbaijan,252475.69,608466.0,X
64,Azerbaijan,701714480.33,1489890000.0,X
65,Azerbaijan,1328417044.1,2777970000.0,X
66,Azerbaijan,645970384.57,1336960000.0,X
67,Azerbaijan,39958724.68,77153500.0,X
68,Azerbaijan,714127513.5,1414190000.0,X
69,Azerbaijan,45156559.34,90376700.0,X
70,Azerbaijan,73756528.22,161773000.0,X
71,Azerbaijan,206678277.63,433454000.0,X
72,Azerbaijan,136652239.2,269356000.0,X
73,Azerbaijan,359330562.94,735684000.0,X
74,Azerbaijan,436046124.24,889402000.0,X
75,Azerbaijan,83392116.96,167587000.0,X
76,Azerbaijan,206678277.63,433454000.0,X
77,Azerbaijan,645970384.57,1336960000.0,X
78,Azerbaijan,279716242.85,585358000.0,X
79,Azerbaijan,701714480.33,1489890000.0,X
80,Azerbaijan,83392116.96,167587000.0,X
81,Azerbaijan,905730406.87,1919970000.0,X
82,Azerbaijan,714127513.5,1414190000.0,X
83,Azerbaijan,136652239.2,269356000.0,X
84,Azerbaijan,359330562.94,735684000.0,X
85,Azerbaijan,185497504.48,409711000.0,X
86,Azerbaijan,128810161.23,266559000.0,X
87,Azerbaijan,353196505.62,746181000.0,X
88,Azerbaijan,905730406.87,1919970000.0,X
89,Azerbaijan,435717038.99,906808000.0,X
90,Belize,3013074.535,20456000.0,X
91,Belize,7149474.367,43360400.0,X
92,Belize,10162548.902,63816400.0,X
93,Belize,7149474.367,43360400.0,X
94,Belize,3013074.535,20456000.0,X
95,Belize,10162548.902,63816400.0,X
96,Angola,31534121190.558,76402028259.0,X
97,Angola,31534121190.558,76402028259.0,X
98,Azerbaijan,952928985.07,1934860000.0,X
99,Azerbaijan,952928985.07,1934860000.0,X
100,Azerbaijan,952928985.07,1934860000.0,X
101,Azerbaijan,262099968.39,565189000.0,X
102,Azerbaijan,262099968.39,565189000.0,X
103,Azerbaijan,952928985.07,1934860000.0,X
104,Azerbaijan,262099968.39,565189000.0,X
105,Azerbaijan,262099968.39,565189000.0,X
106,Azerbaijan,528008320.86,1078090000.0,X
107,Azerbaijan,528008320.86,1078090000.0,X
108,Azerbaijan,528008320.86,1078090000.0,X
109,Azerbaijan,528008320.86,1078090000.0,X
110,Ecuador,1690.0,0.0,X
111,Ecuador,7731162685.5,0.0,X
112,Ecuador,7731162685.5,0.0,X
113,Ecuador,1690.0,0.0,X
114,Ecuador,7731160995.5,19554716790.0,X
115,Ecuador,7731160995.5,19554716790.0,X
116,France,126.518,22.0,X
117,Finland,244067.243,521049.737,X
118,Finland,244067.243,521049.737,X
119,Estonia,114913.437,518668.0,X
120,Brazil,3820.0,,X
121,Brazil,24199539301.0,,X
122,Brazil,73660315.0,133396000.0,X
123,Brazil,86.0,40.0,X
124,Brazil,24125875080.0,59947812268.0,X
125,Bosnia Herzegovina,342809.16,792630.0,X
126,Bosnia Herzegovina,342809.16,792630.0,X
127,Bosnia Herzegovina,342809.16,792630.0,X
128,Colombia,12979915800.03,32647277120.0,X
129,Dominican Rep.,90.0,10.0,X
130,Canada,4963.621,10596.642,X
